PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;COD-BARRIO;BARRIO;COD-DISTRITO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO
3687;"Convento de Santa Teresa y San José (Carmelitas Descalzos)";"";"";"";"Metro: Plaza de España (líneas 3 y 10), Príncipe Pio (líneas 6, 10 y Ramal), Ventura Rodríguez (línea 3)  Cercanías Renfe: Príncipe Pío (líneas C1, C7 y C10)";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a3b4b069a541f010VgnVCM1000000b205a0aRCRD";"ESPAÑA";"PLAZA";"V";"14";"";"";"";"";"MADRID";"MADRID";"28008";"1";"PALACIO";"1";"CENTRO";"439693";"4474966";"40.423143913428284";"-3.7109060464466683";"915 479 105";"";"carmelitasdescalzosmadrid@gmail.com";"/contenido/entidadesYorganismos/TemplosIglesiasCatolicas"
6079820;"Ermita de San Isidro";"";"De lunes a domingo de 10 a 14 horas. Culto: sábados (misa por los difuntos de la semana) y domingos a las 12 horas. Julio: sábados (misa por los difuntos de la semana) a las 12 horas. Cerrada lunes, días de apertura de la Capilla de San Isidro (consultar información relacionada) y durante el mes de agosto, del 1 al 4 de septiembre.";"";"Metro: Marqués de Vadillo (línea 5).";"Descripción monumental: Santuario cuyo origen se remonta a la Edad Media, ubicado junto al manantial que San Isidro había hecho brotar milagrosamente para dar de beber a su amo Iván de Vargas y que la tradición popular atribuye propiedades curativas, de una sola nave con pórtico, cúpula hexagonal cubierta de pizarra coronada por una linterna, reconstruido según el modelo de 1724.";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=913cfa8389c10310VgnVCM1000000b205a0aRCRD";"ERMITA DEL SANTO";"PASEO";"V";"72";"";"";"";"";"MADRID";"MADRID";"28019";"3";"SAN ISIDRO";"11";"CARABANCHEL";"438420";"4472476";"40.40061741587043";"-3.725670113017977";"913 650 841 / 650 779 950";"";"info@cementeriodesanisidro.com";"/contenido/entidadesYorganismos/MonumentosEdificiosArtisticos"
3357;"Ermita Virgen del Puerto";"";"";"";"Metro: Príncipe Pio (líneas 10 y Ramal), Puerta del Ángel (línea 6).   Cercanías Renfe: Príncipe Pío (líneas C7 y C10).";"Descripción monumental: Construido por Pedro Ribera en 1718.  Se encuadra en un proyecto urbanístico propuesto por el propio arquitecto para toda la ribera del Manzanares. De planta octogonal con exedras, lleva cubierta de pizarra.";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=fd7755004e91f010VgnVCM2000000c205a0aRCRD";"VIRGEN DEL PUERTO";"PASEO";"V";"4";"";"";"";"";"MADRID";"MADRID";"28005";"1";"PALACIO";"1";"CENTRO";"438818";"4474132";"40.41556783900282";"-3.721135107165399";"648 841 991 / 637 388 244";"";"info@ermitavirgendelpuerto.es";"/contenido/entidadesYorganismos/MonumentosEdificiosArtisticos"
11506113;"Fuente de San Isidro";"";"De lunes a domingo de 9 a 15 horas.";"";"Metro: Marqués de Vadillo (línea 5)";"Descripción monumental: Manantial de origen medieval, que San Isidro Labrador había hecho brotar milagrosamente al clavar su aguijada en el suelo para dar de beber a su señor Iván de Vargas, que la tradición popular atribuye propiedades curativas.";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9312625b0f0cc710VgnVCM2000001f4a900aRCRD";"ERMITA DEL SANTO";"PASEO";"V";"72";"";"";"";"";"MADRID";"MADRID";"28019";"3";"SAN ISIDRO";"11";"CARABANCHEL";"438420";"4472476";"40.40061741587043";"-3.725670113017977";"913 650 841 / 650 779 950";"";"info@cementeriodesanisidro.com";"/contenido/entidadesYorganismos/MonumentosEdificiosArtisticos"
3356;"Iglesia Catedral de las Fuerzas Armadas";"";"";"";"Metro: Ópera (Líneas 2, 5 y Ramal), Sol (Líneas 1, 2, 3)  Cercanías Renfe: Sol (Líneas C3, C4, C4a y C4b)";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=23e03d232e91f010VgnVCM1000000b205a0aRCRD";"SACRAMENTO";"CALLE";"V";"11";"";"";"";"";"MADRID";"MADRID";"28005";"1";"PALACIO";"1";"CENTRO";"439571";"4474051";"40.414895416742574";"-3.712253187182216";"918 188 991";"";"";"/contenido/entidadesYorganismos/MonumentosEdificiosArtisticos"
3734;"Iglesia Convento del Santísimo Cristo del Pardo";"";"";"";"Consulta los siguientes enlaces.";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f4961e79ee71c010VgnVCM1000000b205a0aRCRD";"CRISTO DE EL PARDO";"PISTA";"V";"11";"";"";"";"";"MADRID";"MADRID";"28048";"1";"EL PARDO";"8";"FUENCARRAL-EL PARDO";"433197";"4485709";"40.51942526454588";"-3.78859935415037";"913 760 800";"";"";"/contenido/entidadesYorganismos/TemplosIglesiasCatolicas"
3480;"Iglesia Cristo Rey de Argüelles";"";"";"";"Metro: Arg&amp;uuml;elles (líneas 3, 4 y 6), Moncloa (líneas 3 y 6)";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=94d213db5b71c010VgnVCM1000000b205a0aRCRD";"MARTIN DE LOS HEROS";"CALLE";"V";"91";"";"";"";"";"MADRID";"MADRID";"28008";"2";"ARGUELLES";"9";"MONCLOA-ARAVACA";"438916";"4475939";"40.431849557830354";"-3.720156223423489";"915 497 544";"";"";"/contenido/entidadesYorganismos/TemplosIglesiasCatolicas"
18320;"Iglesia de la Santísima Trinidad (Trinitarios)";"";"";"";"Metro: Antón Martín (línea 1), Sol (líneas 1, 2 y 3).  Cercanías Renfe: Sol (líneas C3, C4, C4a y C4b).";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7f106f065851c010VgnVCM2000000c205a0aRCRD";"ECHEGARAY";"CALLE";"V";"30";"";"";"";"";"MADRID";"MADRID";"28014";"3";"CORTES";"1";"CENTRO";"440645";"4473958";"40.41413682281796";"-3.699583659131713";"914 295 689";"";"";"/contenido/entidadesYorganismos/TemplosIglesiasCatolicas"
3617;"Iglesia de María Reina";"";"";"";"Metro: Portazgo (línea 1)";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=400fef4d7f71c010VgnVCM1000000b205a0aRCRD";"";"";"";"";"";"";"";"";"MADRID";"MADRID";"";"";"";"";"";"";"";"";"";"914 780 996";"";"parroquiamariareina1@gmail.com";"/contenido/entidadesYorganismos/TemplosIglesiasCatolicas"
3573;"Iglesia de Nuestra Señora de las Maravillas";"";"";"";"Metro: Tribunal (líneas 1 y 10), Bilbao (líneas 1 y 4), Noviciado (línea 2), San Bernardo (líneas 2 y 4).";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=dcd63d232e91f010VgnVCM1000000b205a0aRCRD";"DOS DE MAYO";"CALLE";"V";"11";"";"";"";"";"MADRID";"MADRID";"28004";"5";"UNIVERSIDAD";"1";"CENTRO";"440263";"4475329";"40.42645802536706";"-3.7042148078055055";"605 060 146";"";"";"/contenido/entidadesYorganismos/TemplosIglesiasCatolicas"
3743;"Iglesia de San Antón";"";"";"";"Metro: Gran Vía (líneas 1 y 5) Chueca (línea 5), Tribunal (líneas 1 y 10), Alonso Martínez (líneas 4, 5 y 10).  Cercanías Renfe: Recoletos (líneas C1, C2, C7 y C10).";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2f213d232e91f010VgnVCM1000000b205a0aRCRD";"HORTALEZA";"CALLE";"V";"63";"";"";"";"";"MADRID";"MADRID";"28004";"4";"JUSTICIA";"1";"CENTRO";"440747";"4475062";"40.42408121377881";"-3.6984906424295754";"915 215 781";"";"iglesiasananton@mensajerosdelapaz.com";"/contenido/entidadesYorganismos/TemplosIglesiasCatolicas"
3514;"Iglesia de San Felipe Neri";"";"";"";"Metro: Nueva Numancia (línea 1), Pacífico (líneas 1 y 6)";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=01190713fb71c010VgnVCM1000000b205a0aRCRD";"VALDERRIBAS";"CAMINO";"V";"39";"";"";"";"";"MADRID";"MADRID";"28038";"6";"NUMANCIA";"13";"PUENTE DE VALLECAS";"443606";"4472430";"40.4005738903739";"-3.6645597006500976";"914 306 362";"";"nspneri@archimadrid.es";"/contenido/entidadesYorganismos/TemplosIglesiasCatolicas"
3729;"Iglesia del Santo Niño del Remedio";"";"";"";"Metro: Ópera (líneas 2, 5 y Ramal), Sol (líneas 1,2 y 3)  Cercanías Renfe: Sol (líneas C3, C4, C4a y C4b)";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=245def4d7f71c010VgnVCM1000000b205a0aRCRD";"DONADOS";"CALLE";"V";"6";"";"";"";"";"MADRID";"MADRID";"28013";"6";"SOL";"1";"CENTRO";"439912";"4474403";"40.41808596480543";"-3.7082649271629786";"915 426 112 / 648 808 537";"";"parroquiadesangines@gmail.com";"/contenido/entidadesYorganismos/TemplosIglesiasCatolicas"
3736;"Iglesia Esclavas del Sagrado Corazón de Jesús";"";"";"";"Metro: Iglesía (línea 1).";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=25513d232e91f010VgnVCM1000000b205a0aRCRD";"GENERAL MARTINEZ CAMPOS";"PASEO";"V";"10";"";"";"";"";"MADRID";"MADRID";"28010";"4";"ALMAGRO";"7";"CHAMBERI";"440856";"4476258";"40.43486534899859";"-3.6973162781599918";"914 466 015 / 914 471 118";"";"";"/contenido/entidadesYorganismos/TemplosIglesiasCatolicas"
190377;"Iglesia Nuestra Señora de la Paz";"";"";"";"Metro: O'Donnell (Línea 6)";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b207f5177659f010VgnVCM2000000c205a0aRCRD";"DOCTOR ESQUERDO";"CALLE";"V";"44";"";"";"";"";"MADRID";"MADRID";"28007";"4";"IBIZA";"3";"RETIRO";"443220";"4474654";"40.4205803581753";"-3.66930055090613";"659 538 402 / 744 402 843";"";"icrss.madrid@gmail.com";"/contenido/entidadesYorganismos/TemplosIglesiasCatolicas"
3577;"Iglesia Nuestra Señora de Lourdes y San Justino";"";"";"";"Metro: Casa de Campo (Líneas 5 y 10)";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=db30ef4d7f71c010VgnVCM1000000b205a0aRCRD";"SAN JUAN DE MATA";"CALLE";"V";"30";"";"";"";"";"MADRID";"MADRID";"28011";"3";"LUCERO";"10";"LATINA";"435679";"4472887";"40.40411589026599";"-3.7580098792939416";"641 720 847";"";"";"/contenido/entidadesYorganismos/TemplosIglesiasCatolicas"
60211;"Iglesia Nuestra Señora de Montserrat";"";"";"";"Metro: San Bernardo, (líneas 2 y 4), Bilbao (líneas 1 y 4), Tribunal (líneas 1 y 10), Noviciado (línea 2).";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=70138ed67151c010VgnVCM2000000c205a0aRCRD";"SAN BERNARDO";"CALLE";"V";"79";"";"";"";"";"MADRID";"MADRID";"28015";"5";"UNIVERSIDAD";"1";"CENTRO";"440073";"4475482";"40.42782496214609";"-3.706474495078322";"914 471 250";"";"";"/contenido/entidadesYorganismos/TemplosIglesiasCatolicas"
3365;"Iglesia San Antonio de los Alemanes";"";"";"";"Metro: Callao (líneas 3 y 5), Gran Vía (líneas 1 y 5), Noviciado (línea 2), Chueca (línea 5), Tribunal (líneas 1 y 10).";"Descripción monumental:  Proyectada por Pedro Sánchez, año 1624 y Francisco Seseña, año 1624 - 1633. Fachada, por Juan Gómez de Mora, año 1624 - 1630. Fundación de Felipe III, 1606. Magnífico ejemplo del Barroco madrileño con interesantes elementos arquitectónicos y frescos en paredes y cúpula que forman una unidad de espacio irreal. La gran cúpula oval, decorada con arquitecturas fingidas y escenas de la Apoteosis de San Francisco de Paula, de Francisco Ricci y Carreño de Miranda,refuerza esta impresión.  Lucas Jordán, sin pauta de continuidad, decora los muros curvos con escenas de la vida del San Antonio.  El retablo mayor, de mediados del siglo XVIII, es obra del arquitecto Miguel Fernández con el escultor Francisco Gutiérrez. Obra compleja, fue replanteada por Juan Gómez de Mora quien redibujó la fachada. Muestra un edificio anexo en ladrillo y planta triangular para la Hermandad del Refugio y Piedad de Madrid, fundada en 1615 con su tradicional 'ronda del pan y huevo'.  Dicho edificio data de la década de 1880, quizá por Ruiz de Salces quien proyectó la reforma de la fachada buscando la armonía total.";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=614013db5b71c010VgnVCM1000000b205a0aRCRD";"CORREDERA BAJA DE SAN PABLO";"CALLE";"V";"16";"";"";"";"";"MADRID";"MADRID";"28004";"5";"UNIVERSIDAD";"1";"CENTRO";"440321";"4474907";"40.42265490186256";"-3.7034981611686386";"697 898 659";"";"salemanes@optimacultura.com";"/contenido/entidadesYorganismos/MonumentosEdificiosArtisticos"
60228;"Iglesia San José de la Montaña";"";"";"";"Metro: Rubén Darío (línea 5), Alonso Martínez (línea 4, 5 y 10), Bilbao (líneas 1 y 4), Iglesia (línea 1).";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=4d638ed67151c010VgnVCM2000000c205a0aRCRD";"FERNANDEZ DE LA HOZ";"CALLE";"V";"16";"";"";"";"";"MADRID";"MADRID";"28010";"4";"ALMAGRO";"7";"CHAMBERI";"441046";"4475839";"40.43110799341";"-3.6950362876743106";"608 137 749";"";"";"/contenido/entidadesYorganismos/TemplosIglesiasCatolicas"
3346;"Iglesia San Pedro el Viejo";"";"";"";"Metro: La Latina (línea 5), Tirso de Molina (línea 1).";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f35013db5b71c010VgnVCM1000000b205a0aRCRD";"NUNCIO";"CALLE";"V";"14";"";"";"";"";"MADRID";"MADRID";"28005";"1";"PALACIO";"1";"CENTRO";"439762";"4473863";"40.413210155345766";"-3.7099876453523866";"913 651 284";"";"colegiatasanisidro@yahoo.es";"/contenido/entidadesYorganismos/MonumentosEdificiosArtisticos"
3732;"Monasterio de la Inmaculada y San Pascual (Clarisas)";"";"";"";"Metro: Banco de España (línea 2), Colón (línea 4)  Cercanías Renfe: Recoletos (líneas C1, C2, C7 y C10).";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=62861e79ee71c010VgnVCM1000000b205a0aRCRD";"RECOLETOS";"PASEO";"V";"11";"";"";"";"";"MADRID";"MADRID";"28004";"4";"JUSTICIA";"1";"CENTRO";"441224";"4474733";"40.421156936034926";"-3.69283694119348";"915 311 841";"";"";"/contenido/entidadesYorganismos/TemplosIglesiasCatolicas"
3368;"Monasterio de la Santísima Trinidad y de San Ildefonso (Trinitarias)";"El monumento conmemorativo alberga los restos hallados en la cripta del convento. Con la colocación de los restos de Miguel de Cervantes en la nave de la actual iglesia del siglo XVIII  se cumple la voluntad testamentaria del autor de 'El Quijote'. Miguel de Cervantes, que fue enterrado en la primitiva iglesia el 23 de abril de 1616, expresó en su última voluntad descansar allí en agradecimiento a los Trinitarios que le liberaron de los cinco años y medio de cautiverio en Argel, en manos de los piratas berberiscos.  Descripción monumental: Construido por Marcos López entre 1673 y 1688 con gran austeridad constructiva y decorativa.";"";"";"Metro: Antón Martín (Línea 1), Sol (líneas 1, 2 y 3)  Cercanías Renfe: Sol (líneas C3, C4, C4a y C4b)";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=4c1013db5b71c010VgnVCM1000000b205a0aRCRD";"LOPE DE VEGA";"CALLE";"V";"18";"";"";"";"";"MADRID";"MADRID";"28014";"3";"CORTES";"1";"CENTRO";"440811";"4473907";"40.41368435113225";"-3.697621719554075";"914 295 671";"";"";"/contenido/entidadesYorganismos/MonumentosEdificiosArtisticos"
3348;"Monasterio de las Descalzas Reales";"Un espacio único para evocar a los Austrias españoles de los siglos XVI y XVII  El Monasterio de las Descalzas Reales, en pleno corazón de Madrid, constituye un espacio de culto y tranquilidad donde el visitante puede observar el contraste con el bullicio de la capital. Fue voluntad de su fundadora, Juana de Austria (1535-1573), hija menor del Emperador Carlos V y princesa de Portugal, convertir el palacio en el que ella misma nació, y que pertenecía al tesorero de su padre, en un monasterio de monjas clarisas. En él instaló sus aposentos tras su regreso de Portugal, y en la capilla que ocupa el mismo espacio en el que vino al mundo descansa su cuerpo.";"Solo visitas guiadas:    De martes a sábado, de 10 a 14 horas (acceso hasta las 13 horas) y de 16 a 18:30 horas (acceso hasta las 17:30 horas)  Domingos y festivos: Monasterio, de 10 a 15 horas (acceso hasta las 14 horas)  Cierre semanal: lunes durante todo el año  Acceso gratuito: miércoles y jueves,?de 16 a 18:30 horas (último acceso a las 17:30 horas)";"";"Metro: Sol (líneas 1, 2 y 3), Callao (líneas 3 y 5) y Ópera (líneas 2, 5 y Ramal Ópera-Príncipe Pío)  Cercanías Renfe: Sol (C3 y C4)";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=12e113db5b71c010VgnVCM1000000b205a0aRCRD";"DESCALZAS";"PLAZA";"V";"3";"";"";"";"";"MADRID";"MADRID";"28013";"6";"SOL";"1";"CENTRO";"440087";"4474418";"40.4182401043926";"-3.7062038988539387";"";"";"";"/contenido/entidadesYorganismos/MonumentosEdificiosArtisticos"
