numero_registro;sector;tipo;subtipo;denominacion;plazas_autorizadas_numero;municipio_codigo;municipio_nombre;direccion_via_tipo;direccion_via_codigo;direccion_via_nombre;direccion_portal;direccion_codigo_postal;direccion_mancomunidad;direccion_area;direccion_distrito;direccion_demarcacion;direccion_zonass;direccion_coor_y;direccion_coor_x;contacto_telefono;contacto_correo;entidad_denominacion;entidad_nif;entidad_naturaleza;tipo_gestion
C0046;Infancia y Adolescencia;CENTROS RESIDENCIALES;PISOS TUTELADOS;HOGAR INFANTIL LUIS AMIGO, PISO TUTELADO;6;079;Madrid;CALLE;00949;del Cabo Suceso Terrero;4;28019;;Madrid capital;Carabanchel;Carabanchel 1;San Isidro;4472041;437992;914727474;hogarluisamigomadrid@tcintegra.org;HERMANAS TERCIARIAS CAPUCHINAS-PROVINCIA DE NAZARET;R2802221H;PRIVADA SIN ÁNIMO DE LUCRO;PRIVADA CON PLAZAS CONCERTADAS
C0047;Infancia y Adolescencia;CENTROS RESIDENCIALES;PISOS TUTELADOS;HOGAR JOSE DE PASAMONTE, PISO TUTELADO;9;079;Madrid;CALLE;09336;del Corregidor José de Pasamonte;29;28030;;Madrid capital;Moratalaz;Moratalaz;Marroquina;4473591;445079;91 439 50 13;hogarpasamonte@nuevofuturo.org;ASOCIACION NACIONAL DE HOGARES PARA NIÑOS PRIVADOS DE AMBIENTE FAMILIAR NUEVO FUTURO;G28309862;PRIVADA SIN ÁNIMO DE LUCRO;PRIVADA CON PLAZAS CONCERTADAS
C0048;Infancia y Adolescencia;CENTROS RESIDENCIALES;PISOS TUTELADOS;HOGAR MIGUEL HERNANDEZ, PISO TUTELADO;9;079;Madrid;AVDA;11264;de Miguel Hernández;118;28018;;Madrid capital;Puente de Vallecas;Puente de Vallecas 2;Palomeras Sureste;4470071;444771;917774277;miguelhernandez@nuevofuturo.org;ASOCIACION NACIONAL DE HOGARES PARA NIÑOS PRIVADOS DE AMBIENTE FAMILIAR NUEVO FUTURO;G28309862;PRIVADA SIN ÁNIMO DE LUCRO;PRIVADA CON PLAZAS CONCERTADAS
C0049;Infancia y Adolescencia;CENTROS RESIDENCIALES;PISOS TUTELADOS;HOGAR AVENIDA DE AMERICA, PISO TUTELADO;9;079;Madrid;AVDA;00312;de América;47;28002;;Madrid capital;Chamartín;Chamartín 1;Prosperidad;4477013;443355;91 415 87 45;"fcimorra@nuevofuturo.org;madrid@nuevofuturo.org";ASOCIACION NACIONAL DE HOGARES PARA NIÑOS PRIVADOS DE AMBIENTE FAMILIAR NUEVO FUTURO;G28309862;PRIVADA SIN ÁNIMO DE LUCRO;PRIVADA CON PLAZAS CONCERTADAS
C0050;Infancia y Adolescencia;CENTROS RESIDENCIALES;PISOS TUTELADOS;HOGAR ARROYO LAS PILILLAS;9;079;Madrid;CALLE;00612;del Arroyo de las Pilillas;8;28030;;Madrid capital;Moratalaz;Moratalaz;Marroquina;4473131;444702;914395030;hogarpilillas@nuevofuturo.org;ASOCIACION NACIONAL DE HOGARES PARA NIÑOS PRIVADOS DE AMBIENTE FAMILIAR NUEVO FUTURO;G28309862;PRIVADA SIN ÁNIMO DE LUCRO;PRIVADA CON PLAZAS CONCERTADAS
C0051;Infancia y Adolescencia;CENTROS RESIDENCIALES;PISOS TUTELADOS;HOGAR IBIZA, PISO TUTELADO;9;079;Madrid;CALLE;02844;de Ibiza;5;28009;;Madrid capital;Retiro;Retiro;Ibiza;4474431;442469;915041024;hogar.ibiza@nuevofuturo.org;ASOCIACION NACIONAL DE HOGARES PARA NIÑOS PRIVADOS DE AMBIENTE FAMILIAR NUEVO FUTURO;G28309862;PRIVADA SIN ÁNIMO DE LUCRO;PRIVADA CON PLAZAS CONCERTADAS
C0052;Infancia y Adolescencia;CENTROS RESIDENCIALES;PISOS TUTELADOS;HOGAR GABRIEL USERA, PISO TUTELADO;9;079;Madrid;CALLE;02425;de Gabriel Usera;36;28026;;Madrid capital;Usera;Usera;Pradolongo;4470695;439840;914752743;hogargabrielusera@nuevofuturo.org;ASOCIACION NACIONAL DE HOGARES PARA NIÑOS PRIVADOS DE AMBIENTE FAMILIAR NUEVO FUTURO;G28309862;PRIVADA SIN ÁNIMO DE LUCRO;PRIVADA CON PLAZAS CONCERTADAS
C0068;Personas mayores;CENTROS RESIDENCIALES;RESIDENCIAS DE PERSONAS MAYORES DEPENDIENTES;LAS ROSAS DEL CAMINO, RESIDENCIA DE PERSONAS MAYORES;34;096;Navalcarnero;CALLE;A0136;de San Roque;77;28600;;Oeste;Suroeste;Navalcarnero;Navalcarnero (A);4459754;413978;"696300141;918111001";asociacionlasrosasdelcamino@gmail.com;"ASOCIACION ""LAS ROSAS DEL CAMINO""";G45389855;PRIVADA SIN ÁNIMO DE LUCRO;PRIVADA + PEVS
C0071;Personas con discapacidad intelectual;CENTROS OCUPACIONALES;CENTROS OCUPACIONALES GENÉRICOS;INSTITUTO PSICO PEDIATRIA DR. QUINTERO LUMBRERAS, CENTRO OCUPACIONAL;80;079;Madrid;CTRA;01389;M-607 Colmenar Viejo;13,6;28049;;Madrid capital;Fuencarral-El Pardo;Fuencarral 2;El Goloso;4485895;441761;917345138 - 699467946;"asociacion.ipp@alenta.org;enriquelopez@alenta.org";ASOCIACION DE PADRES Y FAMILIARES DE MINUSVALIDOS PSIQUICOS Y SENSORIALES INTEGRADOS EN EL INSTITUTO DE PSICO-PEDIATRIA DR. QUINTERO LUMBRERAS;G28812022;PRIVADA SIN ÁNIMO DE LUCRO;PRIVADA CON PLAZAS CONCERTADAS
C0074;Personas mayores;CENTROS RESIDENCIALES;RESIDENCIAS DE PERSONAS MAYORES DEPENDIENTES;SANTA FILIPINA, RESIDENCIA DE PERSONAS MAYORES;38;079;Madrid;AVDA;00919;de Burgos;4;28036;;Madrid capital;Chamartín;Chamartín 2;Castilla;4480150;442688;91 767 22 76;rfilipina@gmail.com;FUNDACION ASCE (ANTIGUAS ALUMNAS DEL SAGRADO CORAZON DE ESPAÑA);G28451805;PRIVADA SIN ÁNIMO DE LUCRO;PRIVADA + PEVS
C0082;Personas mayores;CENTROS RESIDENCIALES;RESIDENCIAS DE PERSONAS MAYORES MIXTA;LA AURORA, RESIDENCIA DE PERSONAS MAYORES;177;096;Navalcarnero;PASEO;10251;de Don Miguel Ribagorda Gómez;1;28600;;Oeste;Suroeste;Navalcarnero;Navalcarnero (A);4460910;414144;918111164;rufino@la-aurora.es;SUCESORES DE GANCEDO RODRIGUEZ, S.A.;A28029692;PRIVADA CON ÁNIMO DE LUCRO;PRIVADA CON PLAZAS CONCERTADAS + PEVS
C0087;Personas mayores;CENTROS RESIDENCIALES;RESIDENCIAS DE PERSONAS MAYORES MIXTA;RSDCIA. SACERDOTAL SAN PEDRO, RESIDENCIA DE PERSONAS MAYORES;95;079;Madrid;CALLE;05386;de San Bernardo;101;28015;;Madrid capital;Chamberí;Chamberí 2;Arapiles;4475831;440154;"645459101;914474200";"residenciasacerdotal@archimadrid.es;hnaluisamaria@hotmail.com";ASOCIACION CONGREGACION DE SAN PEDRO APOSTOL DE PRESBITEROS SECULARES NATURALES DE MADRID;R2800005G;PRIVADA SIN ÁNIMO DE LUCRO;PRIVADA + PEVS
C0094;Mujer;CENTROS DE ACOGIDA;CENTROS DE MUJERES MALTRATADAS;SANTÍSIMA TRINIDAD;24;RESERVADO;RESERVADO;RESERVADO;RESERVADO;RESERVADO;RESERVADO;RESERVADO;;Madrid capital;Retiro;Retiro;Ibiza;RESERVADO;RESERVADO;RESERVADO;coordinacionjovenes5@fundacionmarianaallsopp.org;FUNDACION MARIANA ALLSOPP;G87835351;PRIVADA SIN ÁNIMO DE LUCRO;PRIVADA CON PLAZAS CONCERTADAS
C0099;Personas mayores;CENTROS RESIDENCIALES;RESIDENCIAS DE PERSONAS MAYORES DEPENDIENTES;ISLA TARAY, RESIDENCIA PERSONAS MAYORES;214;091;Morata de Tajuña;CTRA;A0143;M-302;3;28530;MANCOMUNIDAD LAS VEGAS;Este;Sureste;Las Vegas;San Martín de la Vega;4453249;463794;91 873 14 56 / 13 28;direccion.islataray@mensajerosdelapaz.com;ASOCIACION EDAD DORADA MENSAJEROS DE LA PAZ;G81594962;PRIVADA SIN ÁNIMO DE LUCRO;PRIVADA CON PLAZAS CONCERTADAS + PEVS
C0103;Personas mayores;CENTROS DE DÍA;HOGARES Y CLUBES;LAS AVES;50;013;Aranjuez;CALLE;A0303;Zorzales;17;28300;;Este;Sureste;Aranjuez;Oeste;4431146;447801;918916764;jfernandez@aranjuez.es;AYUNTAMIENTO DE ARANJUEZ;P2801300A;PÚBLICA;PRIVADA TOTAL
C0112;Personas mayores;CENTROS RESIDENCIALES;RESIDENCIAS DE PERSONAS MAYORES DEPENDIENTES;LA ATALAYA, RESIDENCIA DE PERSONAS MAYORES;107;115;Pozuelo de Alarcón;CMNO;A0025;Alcorcón;2;28223;;Oeste;Noroeste;Pozuelo de Alarcón;Pozuelo: Centro I;4476100;430938;913521445;direccion.atalaya@neurocarehome.es;NEUROCARE HOME MADRID, S.L.;B67634394;PRIVADA CON ÁNIMO DE LUCRO;PRIVADA + PEVS
C0121;Personas mayores;CENTROS RESIDENCIALES;RESIDENCIAS DE PERSONAS MAYORES MIXTA;MIRASIERRA CERCEDILLA, RESIDENCIA PERSONAS MAYORES;46;038;Cercedilla;CTRA;00611;Vieja de los Molinos;11;28470;MANCOMUNIDAD LAS MALICIOSA;Norte;Sierra;Guadarrama;Cercedilla;4509652;409948;918520314;info@residenciamirasierra.com;MIRARRESI SL;B88158605;PRIVADA CON ÁNIMO DE LUCRO;PRIVADA + PEVS
C0124;Personas mayores;CENTROS RESIDENCIALES;RESIDENCIAS DE PERSONAS MAYORES DEPENDIENTES;DOMUSVI REAL DELEITE, RESIDENCIA DE PERSONAS MAYORES;268;013;Aranjuez;PASEO;A0069;de Deleite;3;28300;;Este;Sureste;Aranjuez;Oeste;4430678;447992;918910236;direccion.realdeleite@domusvi.es;QUAVITAE SERVICIOS ASISTENCIALES, S.A.U.;A80106842;PRIVADA CON ÁNIMO DE LUCRO;PRIVADA CON PLAZAS CONCERTADAS + PEVS
C0135;Infancia y Adolescencia;CENTROS DE DÍA;CENTROS DE DÍA: OTROS;LAS NAVES, CENTRO DE DIA INFANTIL Y JUVENIL;195;005;Alcalá de Henares;CALLE;A0632;Río Tajuña;2;28803;;Este;Medio-Este;Alcalá I: Puerta de Madrid;Distrito 4;4479918;469238;918816939;"administracion@salesianosalcala.com;lasnaves@pinardi.com";LAS NAVES, CENTRO DE FORMACIÓN Y ATENCIÓN SOCIOEDUCATIVA;G79916649;PRIVADA SIN ÁNIMO DE LUCRO;PRIVADA TOTAL
C0136;Familia;CENTROS RESIDENCIALES;CENTROS RESIDENCIALES: OTROS;MATER ADMIRABILIS, RESIDENCIA;55;RESERVADO;RESERVADO;RESERVADO;RESERVADO;RESERVADO;RESERVADO;RESERVADO;;Madrid capital;Retiro;Retiro;Ibiza;RESERVADO;RESERVADO;RESERVADO;mater.admirabilis@esclavasvirgendolorosa.es;RESIDENCIA MANUEL HERRANZ ESCLAVAS DE LA VIRGEN DOLOROSA;R2800766D;PRIVADA SIN ÁNIMO DE LUCRO;PRIVADA TOTAL
C0137;Personas con discapacidad intelectual;CENTROS OCUPACIONALES;CENTROS OCUPACIONALES GENÉRICOS;CENTRO OCUPACIONAL FUNDACION CEDEL;34;127;Rozas de Madrid, Las;CALLE;02395;Jaraíz;46;28290;;Oeste;Noroeste;Las Rozas de Madrid;Las Matas;4489674;423623;91 6301012;centroocupacional@fundacioncedel.com;FUNDACIÓN CEDEL;G84721620;PRIVADA SIN ÁNIMO DE LUCRO;PRIVADA + PEVS
C0138;Personas mayores;CENTROS RESIDENCIALES;RESIDENCIAS DE PERSONAS MAYORES DEPENDIENTES;NTRA. SRA. DEL PILAR, RESIDENCIA DE PERSONAS MAYORES;55;079;Madrid;CALLE;02018;de la Esfinge;34;28022;;Madrid capital;San Blas;San Blas;Canilllejas;4477240;448266;917411762;celiacantareromc@gmail.com;CASA COMUNIDAD HERMANAS MERCEDARIAS DE LA CARIDAD;R2800377J;PRIVADA SIN ÁNIMO DE LUCRO;PRIVADA + PEVS
C0140;Personas mayores;CENTROS RESIDENCIALES;RESIDENCIAS DE PERSONAS MAYORES MIXTA;NUESTRA SEÑORA DE MONTSERRAT, RESIDENCIA DE PERSONAS MAYORES;94;079;Madrid;CALLE;05386;de San Bernardo;79;28015;;Madrid capital;Centro;Centro 1;Universidad;4475464;440069;914 471 250;mcruzhidalgo@residenciamontserrat.es;FUNDACION NUESTRA SEÑORA DE MONTSERRAT;G78025533;PRIVADA SIN ÁNIMO DE LUCRO;PRIVADA + PEVS
C0142;Personas mayores;CENTROS RESIDENCIALES;RESIDENCIAS DE PERSONAS MAYORES DEPENDIENTES;SAGRADA FAMILIA ULISES, RESIDENCIA PERSONAS MAYORES;39;079;Madrid;CALLE;06162;de Ulises;60;28043;;Madrid capital;Hortaleza;Hortaleza;Canillas;4478832;444820;"913885183;913884119";ulises@fundacionsf.es;FUNDACION SAGRADA FAMILIA Y SANTA ISABEL;G78473741;PRIVADA SIN ÁNIMO DE LUCRO;PRIVADA + PEVS
C0145;Personas mayores;CENTROS RESIDENCIALES;RESIDENCIAS DE PERSONAS MAYORES MIXTA;NUESTRA SEÑORA DEL SAGRARIO, RESIDENCIA DE PERSONAS MAYORES;80;089;Moraleja de Enmedio;AVDA;00194;de Arroyomolinos;3;28950;MANCOMUNIDAD SUROESTE;Sur;Medio-Sur;Griñón;Griñón;4456935;426508;"916094009;686550921";direccion@residencianssagrario.es;RESIDENCIA NUESTRA SEÑORA DEL SAGRARIO, S.L.;B80479405;PRIVADA CON ÁNIMO DE LUCRO;PRIVADA + PEVS
C0148;Personas mayores;CENTROS RESIDENCIALES;RESIDENCIAS DE PERSONAS MAYORES DEPENDIENTES;CASASOLAR SANTO DUQUE DE GANDIA, RESIDENCIA DE PERSONAS MAYORES;180;079;Madrid;CALLE;09484;de Aniceto Marinas;114;28008;;Madrid capital;Moncloa-Aravaca;Moncloa;Casa de Campo;4475987;437708;915416297;direccion@residenciacasasolar.es;REAL ASOCIACION DE HIDALGOS DE ESPAÑA;G28493211;PRIVADA SIN ÁNIMO DE LUCRO;PRIVADA + PEVS
C0151;Personas mayores;CENTROS RESIDENCIALES;RESIDENCIAS DE PERSONAS MAYORES DEPENDIENTES;CENTRO DE RESIDENCIA GERIÁTRICA SANTA MATILDE, RESIDENCIA DE PERSONAS MAYORES;77;079;Madrid;CALLE;05656;de Santa Matilde;7;28039;;Madrid capital;Tetuán;Tetuán 1;Bellas Vistas;4477952;439955;914508282;ll.gonzalez@live.com;ALONSO QUIJANO, S.L.;B78666393;PRIVADA CON ÁNIMO DE LUCRO;PRIVADA + PEVS
C0153;Personas mayores;CENTROS RESIDENCIALES;RESIDENCIAS DE PERSONAS MAYORES MIXTA;SANTISIMA TRINIDAD, RESIDENCIA PERSONAS MAYORES;56;079;Madrid;AVDA;10179;de la Osa Mayor;8;28023;;Madrid capital;Moncloa-Aravaca;Moncloa;Aravaca;4479263;434314;913572268;eserrano@residenciasjst.org;CASA COMUNIDAD HERMANAS JOSEFINAS DE LA SANTISIMA TRINIDAD;R2800344J;PRIVADA SIN ÁNIMO DE LUCRO;PRIVADA + PEVS
C0155;Personas sin hogar;CENTROS DE DÍA;CENTROS DE DÍA: OTROS;HERMANDAD DEL REFUGIO, CENTRO DE DIA COMEDOR;90;079;Madrid;CALLE;01517;de la Corredera Baja de San Pablo;16;28004;;Madrid capital;Centro;Centro 1;Universidad;4474907;440323;91 522 00 70;"hermandad@refugio.e.telefonica.net;hermandad@realhermandaddelrefugio.org";ASOCIACION SANTA PONTIFICIA Y REAL HERMANDAD DEL REFUGIO Y PIEDAD DE MADRID;G28843118;PRIVADA SIN ÁNIMO DE LUCRO;PRIVADA TOTAL
C0159;Personas mayores;CENTROS RESIDENCIALES;RESIDENCIAS DE PERSONAS MAYORES MIXTA;SAN JUAN BAUTISTA (COLMENAR DE OREJA), RESIDENCIA PERSONAS MAYORES;99;043;Colmenar de Oreja;CALLE;A0149;Madrid;23;28380;;Este;Sureste;Las Vegas;Colmenar de Oreja;4440474;466514;91 894 33 07;direccion.colmenardeoreja@tar2022.es;CRONOX CUBAS COLMENAR SL;B75561282;PRIVADA CON ÁNIMO DE LUCRO;PRIVADA CON PLAZAS CONCERTADAS + PEVS
C0160;Personas mayores;CENTROS RESIDENCIALES;RESIDENCIAS DE PERSONAS MAYORES MIXTA;SANTA MARIA DEL SILENCIO, RESIDENCIA DE PERSONAS MAYORES;130;050;Cubas de la Sagra;CALLE;00091;Sagrado Corazón;25;28978;;Sur;Medio-Sur;Griñón;Griñón;4449244;428454;91 814 23 00;direccion.cubasdelasagra@tar2022madrid.es;CRONOX CUBAS COLMENAR SL;B75561282;PRIVADA CON ÁNIMO DE LUCRO;PRIVADA CON PLAZAS CONCERTADAS + PEVS
C0161;Personas mayores;CENTROS RESIDENCIALES;RESIDENCIAS DE PERSONAS MAYORES DEPENDIENTES;LAS PRADERAS, RESIDENCIA DE PERSONAS MAYORES;99;115;Pozuelo de Alarcón;CTRA;A0350;Humera;69;28224;;Oeste;Noroeste;Pozuelo de Alarcón;Pozuelo: Estación II;4476602;432180;913520082;"direccion@residencialaspraderas.com;administracion@residencialaspraderas.com";PEREZ AGHA, S.L.;B84457308;PRIVADA CON ÁNIMO DE LUCRO;PRIVADA + PEVS
C0167;Personas mayores;CENTROS RESIDENCIALES;RESIDENCIAS DE PERSONAS MAYORES MIXTA;JESUS NAZARENO Y LOS DOLORES, RESIDENCIA DE PERSONAS MAYORES;95;079;Madrid;CALLE;03604;de las Magnolias;105;28029;;Madrid capital;Tetuán;Tetuán 2;Almenara;4480585;441548;"605259656;913155545";residenciajnmadrid@fhjnazareno.org;RESIDENCIA JESUS NAZARENO Y LOS DOLORES;R2800918A;PRIVADA SIN ÁNIMO DE LUCRO;PRIVADA + PEVS
C0168;Personas con discapacidad física;CENTROS DE REHABILITACIÓN;CENTROS DE RECUPERACIÓN;APAM CENTRO DE REHABILITACION;55;079;Madrid;CALLE;03009;de Jaén;32;28020;;Madrid capital;Tetuán;Tetuán 1;Cuatro Caminos;4477969;440617;915333722;direccion@apamja.org;"ASOCIACIÓN DE PERSONAS CON DIVERSIDAD FUNCIONAL, FAMILIAS Y AMIGOS ""APAM""";G28500999;PRIVADA SIN ÁNIMO DE LUCRO;PRIVADA CON PLAZAS CONCERTADAS
C0169;Personas con discapacidad intelectual;CENTROS RESIDENCIALES;OTRAS RESIDENCIAS;RESIDENCIA FUNDACIÓN ALAS MADRID;72;079;Madrid;CALLE;01960;de la Encomienda de Palacios;235;28030;;Madrid capital;Moratalaz;Moratalaz;Pavones-Horcajo;4472089;446082;91 772 43 00;direccion@alasmadrid.org;FUNDACION ALAS MADRID;G79466553;PRIVADA SIN ÁNIMO DE LUCRO;PRIVADA CON PLAZAS CONCERTADAS
C0176;Personas con discapacidad intelectual;CENTROS OCUPACIONALES;CENTROS OCUPACIONALES GENÉRICOS;CENTRO OCUPACIONAL FUNDACIÓN ALAS MADRID;165;079;Madrid;CALLE;01960;de la Encomienda de Palacios;235;28030;;Madrid capital;Moratalaz;Moratalaz;Pavones-Horcajo;4472089;446082;917724300;direccion@alasmadrid.org;FUNDACION ALAS MADRID;G79466553;PRIVADA SIN ÁNIMO DE LUCRO;PRIVADA CON PLAZAS CONCERTADAS + PEVS
C0178;Personas mayores;CENTROS RESIDENCIALES;RESIDENCIAS DE PERSONAS MAYORES MIXTA;LA JAROSA, RESIDENCIA PERSONAS MAYORES;50;068;Guadarrama;PASEO;A0005;de la Alameda;7;28440;MANCOMUNIDAD LAS MALICIOSA;Norte;Sierra;Guadarrama;Guadarrama;4503225;407600;918 540 849;resilajarosa@gmail.com;RESIDENCIAS LA JAROSA Y VISTASIERRA, S.L.;B81338303;PRIVADA CON ÁNIMO DE LUCRO;PRIVADA + PEVS
C0183;Personas sin hogar;CENTROS DE ACOGIDA;ALBERGUES;ALBERGUE SAN MARTIN DE PORRES;62;079;Madrid;CALLE;08995;Vía Carpetana;47;28019;;Madrid capital;Carabanchel;Carabanchel 1;San Isidro;4472300;437728;91 471 72 62;fundacion@fundacionsmp.org;FUNDACION BENEFICO PARTICULAR SAN MARTIN DE PORRES;G28763712;PRIVADA SIN ÁNIMO DE LUCRO;PRIVADA TOTAL
C0185;Personas mayores;CENTROS RESIDENCIALES;RESIDENCIAS DE PERSONAS MAYORES MIXTA;SANTA TERESA JORNET, RESIDENCIA DE PERSONAS MAYORES;202;079;Madrid;CALLE;01862;de la Duquesa de Tamames;8;28044;;Madrid capital;Carabanchel;Carabanchel 3;Buenavista;4469391;436335;915085849 / 915089108;tscarabanchel@hhaadd.org;HOGAR DE ANCIANOS EN DUQUESA TAMAMES 8 HERMANITAS DE LOS ANCIANOS DESAMPARADOS PROV STA MARTA;R2800986H;PRIVADA SIN ÁNIMO DE LUCRO;PRIVADA + PEVS
C0189;Presos y ex reclusos;CENTROS RESIDENCIALES;PISOS TUTELADOS;ACOPE, PISO DE ACOGIDA;6;RESERVADO;RESERVADO;RESERVADO;RESERVADO;RESERVADO;RESERVADO;RESERVADO;;Madrid capital;Retiro;Retiro;Ibiza;RESERVADO;RESERVADO;RESERVADO;casacogida@acope.es;ASOCIACION DE COLABORADORES CON LAS PRESAS (ACOPE);G78426996;PRIVADA SIN ÁNIMO DE LUCRO;PRIVADA TOTAL
C0191;Personas con discapacidad intelectual;CENTROS OCUPACIONALES;CENTROS OCUPACIONALES GENÉRICOS;AFANIAS CANILLEJAS, CENTRO OCUPACIONAL;143;079;Madrid;AVDA;07995;de Canillejas a Vicálvaro;28;28022;;Madrid capital;San Blas;San Blas;Simancas;4476761;447842;91 741 57 00;ptrillo@afanias.org;AFANIAS, ASOCIACION PRO-PERSONAS CON DISCAPACIDAD INTELECTUAL;G28303790;PRIVADA SIN ÁNIMO DE LUCRO;PRIVADA CON PLAZAS CONCERTADAS
